Date (CET),Lower Silesia (DS),Kuyavia-Pomerania (KP),Lubusz (LB),Łódź (LD),Lublin (LU),Lesser Poland (MA),Masovia (MZ; Warsaw),Opole (OP),Podlaskie (PD),Subcarpathian (PK),Pomerania (PM),Holy Cross (SK),Silesia (SL),Warmia–Masuria (WN),Greater Poland (WP),West Pomerania (ZP),Poland daily,Poland total
4 March 2020,,,1[2],,,,,,,,,,,,,,1,1
5 March 2020,,,,,,,,,,,,,,,,,0,1
6 March 2020,1[3],,,,,,,,,,,,,1[3],,2[3],4,5
7 March 2020,,,,,,,,,,,,,,1[4],,,1,6
8 March 2020,1[5],,,,,,2[6][5],,,,,,2[6][5],,,,5,11
9 March 2020,1[7],,,,,1[8],,,,,,,3[8],,1[9],,6,17
10 March 2020,1[10],,,,1[11],,1[12][13],,,,,,2[13][14],,,,5,22
11 March 2020,,,,1[15],1[16],,1[16],1[17],,1[16],,,1[15],2[17],1[17],,9,31
12 March 2020,3[18],,,1[18],4[18],,2[18],1[19],,2[20],,,3[18],,3[20][19],1[19],20,51
13 March 2020,1[21],,,3[21],1[21],,5[22][23],,,3[21][24],,,1[24],,1[24],2[22],17,68
14 March 2020,5[25][26],,,10[25][27][26],8[25][27][26],,5[27][26],2[28][29],,1[26],2[28],2[25],,,1[27],,36,104
15 March 2020,2[30][31],,1[32],4[32][33],2[30][33],,6[30][32],,,1[30],,1[30],2[33],1[30],,1[31],21,125
16 March 2020,12[34][35],,,12[34][35],1[35],1[36],13[34][36][35],2[34],,3[34][35],,,4[34][36],,4[34][35],,52,177
17 March 2020,11[37][38],8[39][37],,11[37][38],4[39][37],3[39][37],3[39],2[39][38],1[38],,6[39],,6[39][37][38],2[39],2[37],2[39][38],61,238
18 March 2020,2[40],,1[41],,,1[41],28[40],1[40],1[41],3[42][41][40],1[40],1[42],6[42][40],4[42],,,49,287
19 March 2020,13[43][44],3[43],6[43][44],6[45],3[45],1[44],16[44],1[45],-1[n 2][44],3[43][44],,1[45],12[45][44],1[43],2[45][44],1[44],68,355
20 March 2020,5[46][47],3[47],,9[48],3[46],7[49][46][48],25[47],,2[46][47],2[46][47],1[47],1[49],4[49][48],5[49][48],3[49][46],,70,425
21 March 2020,8[50][51],4[50][52][53],,34[51][53],3[50][52][53],2[50][51],20[53],,2[50],6[50][51],4[52][51],1[53],10[52][51],3[52],13[50][52][53],1[52],111,536
22 March 2020,13[54][55],,2[55],15[55],8[56][54] [55],8[55] [54],20[55],4[56] [54],1[56],4[56] [54][57],3[54] [57],,10[55] [57],2 [57][55],6[55],2[57],98,634
23 March 2020,22[58][59][60],3[58][61],5[60],5[59][60],9[58][59][60][61],9[58][60] [61],28[58],5[60],1[58],1[59],4[58],1[61],11[58][61],3[58],4[58][62],4[58][59][63],115,749
24 March 2020,33[64][65][66],1[65],5[67][68],18[64],6[65],16[64][65][68],37[68],2[67],,7[69],1[67],,10[64][67],4[64][69],2[64][67],9[64][67],151,900
25 March 2020,16[70][71],5[72][71],2[71],15[70],6[72][71][73],7[72][70][71][73],39[70],2[70][71],3[72][70],6[71][73],,6[72][70],20[72],,,,,
26 March 2020,15[74][75],4[76],7[74],14[75],14[74][76],13[74][75][76],40[77],3[77][75],3[77],10[77][75][76],6[77][74][76],1[76],20[74][75][76],6[76],12[77][74][75][76],2[74][76],170,1221
27 March 2020,28[78][79][80],2[81],1[79],10[80],4[79][80],24[79][80],27[78],2[78][80],4[80][81],8[78][80],4[80][81],7[78][81],14[79][81],5[79][81],21[78][79][80][81],7[78][80],168,1389
28 March 2020,21[82][83],4[84],2[82][84],14[83],9[82][83][84],19[83][84],103[82],3[82][83][84],9[83][84],10[82][83],4[82][84],5[83],24[82][84],2[83],9[82][83][84],11[82][84],249,1638
29 March 2020,20[85],10[86],,8[86],18[85][86][87],38[85][86][87],40[85],12[87],2[85][87],5[86],9[85][86][87],7[85][87],30[85][87],10[87],9[85][87],6[85][86][87],224,1862
30 March 2020,24[88][89],25[90],3[89],12[90],9[88][89],24[90][89],26[88],11[88][90],8[90][89],4[90],3[90][89],3[89],14[91][n 3][88][89],1[89],24[88][90][89],2[88][90],193,2055
31 March 2020,16[92][91][93],4[91],6[92],6[91],18[92][91][93],18[91][93],57[92],16[92][91],,15[92][91],6[92][91][93],12[92][93],55[92][91][93],1[91],16[92][93],10[92][91][93],256,2311
1 April 2020,52[94][95][96],8[94],5[95],13[95],1[94],17[95][96],68[94],5[94][95],11[94][95],9[94][95],6[94][95],6[95][96],8[96],3[94][96],21[94][96],10[94][95][96],243,2554
2 April 2020,12[97][98],73[99],1[99],15[99][97][98],18[99][97][98],21[97][98],142[99],3[98],12[99][97],7[97],10[99][97][98],7[99][98],29[97][98],6[99][97][98],26[99][97][98],10[99][98],392,2946
